s.no,BRAND_NAME,Rating,Orginal Prices,Discounted Prices,Percentage_Offer,Exchange_price,Votes
429,LG - 164 cm (65 inch) & OLED Ultra HD (4K) Smart TV,4.8,"₹4,09,990","₹2,49,999",39% off,"Upto ₹11,000 Off on Exchange",4 Ratings & 1 Reviews
430,LG Nanocell - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.7,"₹59,990","₹52,990",11% off,"No Cost EMI from ₹2,944/month",6 Ratings & 3 Reviews
431,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
435,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
439,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
443,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
447,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
448,Panasonic - 165 cm (65 inch) & Ultra HD (4K) LED Smart TV,3.7,"₹2,69,900","₹1,89,999",29% off,"Upto ₹11,000 Off on Exchange",6 Ratings & 1 Reviews
455,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
456,Hisense A56E - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹17,990","₹16,999",5% off,"Upto ₹11,000 Off on Exchange","3,836 Ratings & 728 Reviews"
459,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
463,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
464,SAMSUNG Q Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,2.3,"₹3,99,900","₹3,41,900",14% off,"Upto ₹11,000 Off on Exchange",4 Ratings & 1 Reviews
467,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
471,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
474,TCL - 138.7 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹89,900","₹55,499",38% off,"Upto ₹11,000 Off on Exchange",106 Ratings & 28 Reviews
477,Panasonic - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹59,900","₹53,999",9% off,"Upto ₹11,000 Off on Exchange",11 Ratings & 5 Reviews
478,LG Nanocell - 139 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.7,"₹1,09,990","₹82,990",24% off,"No Cost EMI from ₹4,611/month",6 Ratings & 3 Reviews
